team,season,wins,losses,points_scored,points_allowed,point_diff
BUF,2020,13,3,0,501,375
MIA,2020,10,6,0,404,338
NE,2020,7,9,0,326,353
NYJ,2020,2,14,0,243,457
PIT,2020,12,4,0,416,312
BAL,2020,11,5,0,468,303
CLE,2020,11,5,0,408,419
CIN,2020,4,11,0,311,424
TEN,2020,11,5,0,491,439
IND,2020,11,5,0,451,362
HOU,2020,4,12,0,384,464
JAX,2020,1,15,0,306,492
KC,2020,14,2,0,473,362
LV,2020,8,8,0,434,478
LAC,2020,7,9,0,384,426
DEN,2020,5,11,0,323,446
WAS,2020,7,9,0,335,329
NYG,2020,6,10,0,280,357
DAL,2020,6,10,0,395,473
PHI,2020,4,11,0,334,418
GB,2020,13,3,0,509,369
CHI,2020,8,8,0,372,370
MIN,2020,7,9,0,430,475
DET,2020,5,11,0,377,519
NO,2020,12,4,0,482,337
TB,2020,11,5,0,492,355
CAR,2020,5,11,0,350,402
ATL,2020,4,12,0,396,414
SEA,2020,12,4,0,459,371
LAR,2020,10,6,0,372,296
ARI,2020,8,8,0,410,367
SF,2020,6,10,0,376,390
BUF,2021,11,6,0,483,289
NE,2021,10,7,0,462,303
MIA,2021,9,8,0,341,373
NYJ,2021,4,13,0,310,504
CIN,2021,10,7,0,460,376
PIT,2021,9,7,0,343,398
CLE,2021,8,9,0,349,371
BAL,2021,8,9,0,387,392
TEN,2021,12,5,0,419,354
IND,2021,9,8,0,451,365
HOU,2021,4,13,0,280,452
JAX,2021,3,14,0,253,457
KC,2021,12,5,0,480,364
LV,2021,10,7,0,374,439
LAC,2021,9,8,0,474,459
DEN,2021,7,10,0,335,322
DAL,2021,12,5,0,530,358
PHI,2021,9,8,0,444,385
WAS,2021,7,10,0,335,434
NYG,2021,4,13,0,258,416
GB,2021,13,4,0,450,371
MIN,2021,8,9,0,425,426
CHI,2021,6,11,0,311,407
DET,2021,3,13,0,325,467
TB,2021,13,4,0,511,353
NO,2021,9,8,0,364,335
ATL,2021,7,10,0,313,459
CAR,2021,5,12,0,304,404
LAR,2021,12,5,0,460,372
ARI,2021,11,6,0,449,366
SF,2021,10,7,0,427,365
SEA,2021,7,10,0,395,366
BUF,2022,13,3,0,455,286
MIA,2022,9,8,0,397,399
NE,2022,8,9,0,364,347
NYJ,2022,7,10,0,296,316
CIN,2022,12,4,0,418,322
BAL,2022,10,7,0,350,315
PIT,2022,9,8,0,308,346
CLE,2022,7,10,0,361,381
JAX,2022,9,8,0,404,350
TEN,2022,7,10,0,298,359
IND,2022,4,12,0,289,427
HOU,2022,3,13,0,289,420
KC,2022,14,3,0,496,369
LAC,2022,10,7,0,391,384
LV,2022,6,11,0,395,418
DEN,2022,5,12,0,287,359
PHI,2022,14,3,0,477,344
DAL,2022,12,5,0,467,342
NYG,2022,9,7,0,365,371
WAS,2022,8,8,0,321,343
MIN,2022,13,4,0,424,427
DET,2022,9,8,0,453,427
GB,2022,8,9,0,370,371
CHI,2022,3,14,0,326,463
TB,2022,8,9,0,313,358
CAR,2022,7,10,0,347,374
NO,2022,7,10,0,330,345
ATL,2022,7,10,0,365,386
SF,2022,13,4,0,450,277
SEA,2022,9,8,0,407,401
LAR,2022,5,12,0,307,384
ARI,2022,4,13,0,340,449
BUF,2023,11,6,451,311,140
MIA,2023,11,6,496,391,105
NYJ,2023,7,10,268,355,-87
NE,2023,4,13,236,366,-130
BAL,2023,13,4,483,280,203
CLE,2023,11,6,396,362,34
PIT,2023,10,7,304,324,-20
CIN,2023,9,8,366,384,-18
HOU,2023,10,7,377,353,24
JAX,2023,9,8,377,371,6
IND,2023,9,8,396,415,-19
TEN,2023,6,11,305,367,-62
KC,2023,11,6,371,294,77
LV,2023,8,9,332,331,1
DEN,2023,8,9,357,413,-56
LAC,2023,5,12,346,398,-52
DAL,2023,12,5,509,315,194
PHI,2023,11,6,433,428,5
NYG,2023,6,11,266,407,-141
WAS,2023,4,13,329,518,-189
DET,2023,12,5,461,395,66
GB,2023,9,8,383,350,33
MIN,2023,7,10,344,362,-18
CHI,2023,7,10,360,379,-19
TB,2023,9,8,348,325,23
NO,2023,9,8,402,327,75
ATL,2023,7,10,321,373,-52
CAR,2023,2,15,236,416,-180
SF,2023,12,5,491,298,193
LAR,2023,10,7,404,377,27
SEA,2023,9,8,364,402,-38
ARI,2023,4,13,330,455,-125
BUF,2024,13,4,525,368,157
MIA,2024,8,9,345,364,-19
NYJ,2024,5,12,338,404,-66
NE,2024,4,13,289,417,-128
BAL,2024,12,5,518,361,157
PIT,2024,10,7,380,347,33
CIN,2024,9,8,472,434,38
CLE,2024,3,14,258,435,-177
HOU,2024,10,7,372,372,0
IND,2024,8,9,377,427,-50
JAX,2024,4,13,320,435,-115
TEN,2024,3,14,311,460,-149
KC,2024,15,2,385,326,59
LAC,2024,11,6,402,301,101
DEN,2024,10,7,425,311,114
LV,2024,4,13,309,434,-125
PHI,2024,14,3,463,303,160
WAS,2024,12,5,485,391,94
DAL,2024,7,10,350,468,-118
NYG,2024,3,14,273,415,-142
DET,2024,15,2,564,342,222
MIN,2024,14,3,432,332,100
GB,2024,11,6,460,338,122
CHI,2024,5,12,310,370,-60
TB,2024,10,7,502,385,117
ATL,2024,8,9,389,423,-34
CAR,2024,5,12,341,534,-193
NO,2024,5,12,338,398,-60
LAR,2024,10,7,367,386,-19
SEA,2024,10,7,375,368,7
ARI,2024,8,9,400,379,21
SF,2024,6,11,389,436,-47
NE,2025,14,3,0,490,320
BUF,2025,12,5,0,481,365
MIA,2025,7,10,0,347,424
NYJ,2025,3,14,0,300,503
PIT,2025,10,7,0,397,387
BAL,2025,8,9,0,424,398
CIN,2025,6,11,0,414,492
CLE,2025,5,12,0,279,379
JAX,2025,13,4,0,474,336
HOU,2025,12,5,0,404,295
IND,2025,8,9,0,466,412
TEN,2025,3,14,0,284,478
DEN,2025,14,3,0,401,311
LAC,2025,11,6,0,368,340
KC,2025,6,11,0,362,328
LV,2025,3,14,0,241,432
PHI,2025,11,6,0,379,325
DAL,2025,7,9,0,471,511
WAS,2025,5,12,0,356,451
NYG,2025,4,13,0,381,439
CHI,2025,11,6,0,441,415
GB,2025,9,7,0,391,360
MIN,2025,9,8,0,344,333
DET,2025,9,8,0,481,413
CAR,2025,8,9,0,311,380
TB,2025,8,9,0,380,411
ATL,2025,8,9,0,353,401
NO,2025,6,11,0,306,383
SEA,2025,14,3,0,483,292
LAR,2025,12,5,0,518,346
SF,2025,12,5,0,437,371
ARI,2025,3,14,0,355,488
